E2E:26007 Classify:17688 Shuffle:57 Extract:327 Split:2494 E2E:26007
E2E:25589 Classify:17671 Shuffle:50 Extract:318 Split:2154 E2E:25589
E2E:25815 Classify:17616 Shuffle:44 Extract:429 Split:2432 E2E:25815
E2E:26027 Classify:17573 Shuffle:50 Extract:325 Split:2571 E2E:26027
E2E:25954 Classify:17659 Shuffle:48 Extract:558 Split:2459 E2E:25954
E2E:25566 Classify:17622 Shuffle:47 Extract:321 Split:2247 E2E:25566
E2E:25780 Classify:17637 Shuffle:40 Extract:532 Split:2360 E2E:25780
E2E:25974 Classify:18384 Shuffle:43 Extract:324 Split:2392 E2E:25974
E2E:25494 Classify:17483 Shuffle:45 Extract:324 Split:2232 E2E:25494
E2E:26932 Classify:18614 Shuffle:51 Extract:320 Split:2423 E2E:26932
E2E:25545 Classify:17389 Shuffle:47 Extract:348 Split:2346 E2E:25545
E2E:25966 Classify:17655 Shuffle:47 Extract:276 Split:2519 E2E:25966
E2E:26083 Classify:18931 Shuffle:44 Extract:272 Split:2391 E2E:26083
E2E:25853 Classify:17728 Shuffle:49 Extract:305 Split:2345 E2E:25853
E2E:25995 Classify:17628 Shuffle:58 Extract:333 Split:2497 E2E:25995
E2E:25466 Classify:17455 Shuffle:47 Extract:337 Split:2192 E2E:25466
E2E:25541 Classify:18410 Shuffle:51 Extract:419 Split:2447 E2E:25541
E2E:25666 Classify:17572 Shuffle:60 Extract:350 Split:2333 E2E:25666
E2E:25497 Classify:17421 Shuffle:76 Extract:847 Split:2223 E2E:25497
E2E:25542 Classify:17589 Shuffle:45 Extract:303 Split:2128 E2E:25542
E2E:27214 Classify:18976 Shuffle:53 Extract:306 Split:2447 E2E:27214
E2E:25538 Classify:17505 Shuffle:44 Extract:281 Split:2229 E2E:25538
E2E:25665 Classify:17617 Shuffle:47 Extract:340 Split:2253 E2E:25665
E2E:25997 Classify:17762 Shuffle:63 Extract:361 Split:2431 E2E:25997
E2E:25816 Classify:17496 Shuffle:62 Extract:340 Split:2433 E2E:25816
E2E:25992 Classify:17841 Shuffle:43 Extract:359 Split:2361 E2E:25992
E2E:25679 Classify:17431 Shuffle:47 Extract:388 Split:2496 E2E:25679
E2E:25675 Classify:17641 Shuffle:53 Extract:321 Split:2204 E2E:25675
E2E:25359 Classify:17377 Shuffle:53 Extract:414 Split:2155 E2E:25359
E2E:25794 Classify:17558 Shuffle:42 Extract:321 Split:2486 E2E:25794
E2E:25566 Classify:17365 Shuffle:50 Extract:297 Split:2403 E2E:25566
E2E:25837 Classify:17786 Shuffle:61 Extract:414 Split:2203 E2E:25837
E2E:25563 Classify:17430 Shuffle:48 Extract:358 Split:2283 E2E:25563
E2E:26360 Classify:17415 Shuffle:48 Extract:779 Split:3113 E2E:26360
E2E:25805 Classify:17452 Shuffle:45 Extract:548 Split:2589 E2E:25805
E2E:25411 Classify:17354 Shuffle:46 Extract:792 Split:2264 E2E:25411
E2E:25617 Classify:17451 Shuffle:47 Extract:376 Split:2314 E2E:25617
E2E:25543 Classify:17367 Shuffle:50 Extract:358 Split:2381 E2E:25543
E2E:26337 Classify:18212 Shuffle:68 Extract:300 Split:2358 E2E:26337
E2E:25823 Classify:17642 Shuffle:55 Extract:310 Split:2361 E2E:25823
E2E:25743 Classify:17557 Shuffle:43 Extract:330 Split:2397 E2E:25743
E2E:25814 Classify:17658 Shuffle:68 Extract:516 Split:2404 E2E:25814
E2E:25681 Classify:17466 Shuffle:48 Extract:297 Split:2293 E2E:25681
E2E:26416 Classify:17723 Shuffle:43 Extract:544 Split:2865 E2E:26416
E2E:25785 Classify:17501 Shuffle:49 Extract:283 Split:2509 E2E:25785
E2E:26339 Classify:18309 Shuffle:42 Extract:339 Split:2258 E2E:26339
E2E:25459 Classify:17469 Shuffle:47 Extract:298 Split:2221 E2E:25459
E2E:25635 Classify:17617 Shuffle:46 Extract:478 Split:2235 E2E:25635
E2E:24755 Classify:16817 Shuffle:44 Extract:367 Split:2272 E2E:24755
E2E:25353 Classify:18349 Shuffle:41 Extract:278 Split:2053 E2E:25353
E2E:23873 Classify:16940 Shuffle:39 Extract:262 Split:2409 E2E:23873
E2E:23422 Classify:16996 Shuffle:54 Extract:391 Split:2293 E2E:23422
E2E:24039 Classify:16847 Shuffle:43 Extract:264 Split:2455 E2E:24039
E2E:25590 Classify:17654 Shuffle:41 Extract:289 Split:2153 E2E:25590
E2E:23979 Classify:16786 Shuffle:44 Extract:664 Split:2442 E2E:23979
E2E:23600 Classify:17263 Shuffle:40 Extract:266 Split:2342 E2E:23600
E2E:24385 Classify:18272 Shuffle:45 Extract:326 Split:2424 E2E:24385
E2E:24711 Classify:16560 Shuffle:43 Extract:320 Split:2352 E2E:24711
E2E:25903 Classify:17660 Shuffle:47 Extract:276 Split:2479 E2E:25903
E2E:24716 Classify:17616 Shuffle:42 Extract:329 Split:2477 E2E:24716
E2E:25689 Classify:17495 Shuffle:50 Extract:289 Split:2428 E2E:25689
E2E:24020 Classify:17227 Shuffle:50 Extract:332 Split:2478 E2E:24020
E2E:25063 Classify:16539 Shuffle:49 Extract:313 Split:2737 E2E:25063
E2E:24981 Classify:17000 Shuffle:50 Extract:291 Split:2206 E2E:24981
E2E:24481 Classify:16609 Shuffle:48 Extract:315 Split:2286 E2E:24481
E2E:25894 Classify:17790 Shuffle:71 Extract:288 Split:2292 E2E:25894
E2E:23372 Classify:16196 Shuffle:52 Extract:329 Split:2504 E2E:23372
E2E:25716 Classify:17509 Shuffle:60 Extract:292 Split:2388 E2E:25716
E2E:23175 Classify:16929 Shuffle:52 Extract:304 Split:2279 E2E:23175
E2E:24568 Classify:17385 Shuffle:55 Extract:361 Split:2284 E2E:24568
E2E:24677 Classify:16568 Shuffle:46 Extract:301 Split:2331 E2E:24677
E2E:22918 Classify:16192 Shuffle:45 Extract:291 Split:2444 E2E:22918
E2E:23514 Classify:16429 Shuffle:48 Extract:422 Split:2428 E2E:23514
E2E:24498 Classify:17238 Shuffle:39 Extract:284 Split:2242 E2E:24498
E2E:24887 Classify:17192 Shuffle:47 Extract:351 Split:2443 E2E:24887
E2E:25565 Classify:17498 Shuffle:50 Extract:301 Split:2243 E2E:25565
E2E:25091 Classify:17209 Shuffle:69 Extract:351 Split:2410 E2E:25091
E2E:26227 Classify:17740 Shuffle:48 Extract:588 Split:2348 E2E:26227
E2E:23802 Classify:16946 Shuffle:44 Extract:405 Split:2149 E2E:23802
E2E:22821 Classify:16009 Shuffle:48 Extract:324 Split:2325 E2E:22821
E2E:24022 Classify:17001 Shuffle:52 Extract:257 Split:2382 E2E:24022
E2E:22996 Classify:16184 Shuffle:43 Extract:498 Split:2363 E2E:22996
E2E:22717 Classify:16027 Shuffle:43 Extract:295 Split:2347 E2E:22717
E2E:22826 Classify:15903 Shuffle:49 Extract:347 Split:2268 E2E:22826
E2E:25036 Classify:17175 Shuffle:44 Extract:359 Split:2566 E2E:25036
E2E:24535 Classify:17155 Shuffle:54 Extract:332 Split:2451 E2E:24535
E2E:23158 Classify:15679 Shuffle:54 Extract:310 Split:2391 E2E:23158
E2E:24438 Classify:16735 Shuffle:57 Extract:273 Split:2273 E2E:24438
E2E:24346 Classify:16140 Shuffle:57 Extract:371 Split:2407 E2E:24346
E2E:25056 Classify:16828 Shuffle:49 Extract:385 Split:2488 E2E:25056
E2E:22864 Classify:15996 Shuffle:50 Extract:490 Split:2331 E2E:22864
E2E:23220 Classify:16331 Shuffle:49 Extract:311 Split:2244 E2E:23220
E2E:24131 Classify:15976 Shuffle:40 Extract:387 Split:2698 E2E:24131
E2E:24610 Classify:16407 Shuffle:125 Extract:295 Split:2418 E2E:24610
E2E:26661 Classify:18497 Shuffle:57 Extract:401 Split:2383 E2E:26661
E2E:25325 Classify:18258 Shuffle:53 Extract:280 Split:2233 E2E:25325
E2E:22843 Classify:15881 Shuffle:48 Extract:293 Split:2178 E2E:22843
E2E:22577 Classify:17079 Shuffle:39 Extract:309 Split:2259 E2E:22577
E2E:22689 Classify:16352 Shuffle:44 Extract:327 Split:2230 E2E:22689
E2E:12484 Classify:6407 Shuffle:45 Extract:296 Split:1418 E2E:12484
E2E:12263 Classify:6408 Shuffle:53 Extract:266 Split:1225 E2E:12263
E2E:33976 Classify:24049 Shuffle:231 Extract:1908 Split:3882 E2E:33976
E2E:25759 Classify:17337 Shuffle:42 Extract:428 Split:2583 E2E:25759
E2E:25765 Classify:17508 Shuffle:45 Extract:283 Split:2462 E2E:25765
